Provinsi,Kabupaten/Kota,Persentase Penduduk Miskin (P0),Rata-rata Lama Sekolah,Pengeluaran per Kapita,Umur Harapan Hidup (UHH),Indeks Pembangunan Manusia (IPM),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus,Rumah Tangga yang Memiliki Akses Terhadap Sanitasi Layak,Rumah Tangga yang Memiliki Akses Terhadap Sumber Air Minum Layak
ACEH,Aceh Barat,17.93,9.87,9775,68.19,72.34,6.09,57.8,88.39,95.49
ACEH,Aceh Barat Daya,15.44,8.68,8651,65.3,67.41,4.12,59.18,65.94,89.11
ACEH,Aceh Besar,13.38,10.35,9894,69.99,74,8.28,65.31,83.49,90.38
ACEH,Aceh Jaya,12.51,8.72,10041,67.4,70.36,3.12,69.12,78.05,83.1
ACEH,Aceh Selatan,12.43,8.89,8353,64.64,67.87,4.82,60.69,70.83,77.45
ACEH,Aceh Singkil,19.18,8.69,8994,67.65,69.62,6.88,57.33,78.92,84.37
ACEH,Aceh Tamiang,12.61,9.04,8759,69.87,70.43,7.38,66.01,82.74,83.82
ACEH,Aceh Tengah,14.5,9.87,10957,69.05,73.95,4.44,76.37,89.69,97.1
ACEH,Aceh Tenggara,12.83,9.92,8222,68.48,70.32,5.09,67.82,62.88,93.8
ACEH,Aceh Timur,13.91,8.32,9127,68.94,68.72,8.07,58.45,69.06,82.85
ACEH,Aceh Utara,16.86,8.73,8620,69.01,70.22,7.08,56.37,78.92,91.25
ACEH,Bener Meriah,18.39,10.01,11421,69.48,73.9,2.61,79.71,81.56,88.48
ACEH,Bireuen,12.51,9.31,9438,71.48,73.16,4.2,64.39,85.39,94.79
ACEH,Gayo Lues,18.87,8.41,9094,65.77,68.25,2.7,79.87,46.33,86.19
ACEH,Kota Banda Aceh,7.13,13.03,17228,71.79,86.28,8.62,58.93,96.88,95.66
ACEH,Kota Langsa,10.62,11.14,12353,69.63,77.82,7.85,63.9,91.92,98.46
ACEH,Kota Lhokseumawe,10.84,11.12,11701,71.87,78.04,9.15,64.11,90.27,98.69
ACEH,Kota Sabang,14.66,11.19,11780,70.79,76.85,4.01,67.81,89.52,92.55
ACEH,Kota Subulussalam,16.94,8.22,7689,64.3,66.2,5.75,67.04,72.46,56.02
ACEH,Nagan Raya,17.38,8.95,8581,69.45,70.1,5.84,66.64,79.97,90.49
ACEH,Pidie,18.79,9.02,10211,67.15,71.2,5.94,65.47,54.68,89.22
ACEH,Pidie Jaya,18.45,9.53,10701,70.41,74.34,4.4,57.89,73.49,90.38
ACEH,Simeulue,18.37,9.73,7371,65.48,67.27,6,64.44,70.21,83.69
BALI,Badung,2.53,10.64,17445,75.51,82.13,6.87,72.8,87.77,98.79
BALI,Bangli,5.28,7.47,11424,70.97,70.26,0.76,83.36,82.43,93.12
BALI,Buleleng,6.21,7.56,13529,72.32,73.45,5.2,75.38,80.9,98.99
BALI,Gianyar,4.7,9.55,14630,74.13,78.39,6.78,80.26,91.77,98.98
BALI,Jembrana,5.3,8.64,11915,72.82,73.58,3.94,80.6,85.84,97.23
BALI,Klungkung,6.07,8.46,11500,71.83,72.55,1.96,79.81,93.39,98.25
BALI,Kota Denpasar,2.97,11.5,19850,75.3,84.37,5.08,72.37,98.51,100
BALI,Tabanan,5.18,9.15,14475,74.1,76.75,3.83,76.93,79.35,94.6
BANTEN,Kota Cilegon,3.64,10.34,13185,67.02,73.95,8.1,67.39,87.72,99.08
BANTEN,Kota Serang,5.94,8.9,13709,68.54,72.98,8.17,64.8,91.55,97.61
BANTEN,Kota Tangerang,5.77,10.84,14909,71.91,78.9,7.16,66.08,94.43,95.58
BANTEN,Kota Tangerang Selatan,2.5,11.84,15997,72.78,81.95,6.59,58.67,97.56,98.64
BANTEN,Lebak,8.91,6.59,8854,67.74,64.71,8.55,66.17,67.4,73.27
BANTEN,Pandeglang,9.32,7.13,8827,65.2,65.84,9.24,61.66,62.14,77.27
BANTEN,Serang,4.96,7.78,10916,65.18,67.75,10.61,64.25,82.38,91.91
BANTEN,Tangerang,6.92,8.92,12427,70.28,72.97,7.88,67.05,86.63,98.55
BENGKULU,Bengkulu Selatan,17.86,9.39,10318,68.15,71.42,3.51,75.64,84.09,65
BENGKULU,Bengkulu Tengah,9.76,7.49,9697,68.37,68.47,2.48,65.16,74.65,51.89
BENGKULU,Bengkulu Utara,11.48,8.1,10774,68.53,69.77,4.16,67.72,83.44,82.64
BENGKULU,Kaur,18.1,8.39,9009,67.01,67.77,3.83,72.22,81.23,83.94
BENGKULU,Kepahiang,14.53,8.3,9708,68.28,69.09,2.92,74.47,64.58,61.81
BENGKULU,Kota Bengkulu,15.73,11.82,14503,70.46,80.99,6.15,66.29,94.49,94.51
BENGKULU,Lebong,12.03,8.24,11644,63.68,68.12,3.16,72.8,51.92,54.85
BENGKULU,Mukomuko,11.44,8.31,10747,67,69.12,3.07,62.72,79.12,75.73
BENGKULU,Rejang Lebong,15.65,8.55,10547,69,71.45,2.28,74.46,70.2,57.25
BENGKULU,Seluma,18.36,8.09,8657,68.13,67.76,1.74,70.57,86.16,71.59
D I YOGYAKARTA,Bantul,12.27,9.59,16002,73.9,80.69,3.97,74.39,96.05,96.89
D I YOGYAKARTA,Gunung Kidul,15.86,7.31,9874,74.23,70.96,2.08,74.07,96.57,97.17
D I YOGYAKARTA,Kota Yogyakarta,6.62,11.89,19319,74.83,87.69,7.18,72.48,92.82,98.79
D I YOGYAKARTA,Kulon Progo,16.39,9.17,10511,75.28,75.46,2.8,78.83,96.43,88.4
D I YOGYAKARTA,Sleman,7.74,10.94,16438,75,84.31,4.78,68.12,97.42,97.52
DKI JAKARTA,Kep Seribu,14.11,9.02,13,72.79,69.2,8.47,67.68,85.66,86.96
DKI JAKARTA,Kota Jakarta Barat,4.22,11.13,21357,73.81,82.51,7.1,63.97,91.65,98.91
DKI JAKARTA,Kota Jakarta Pusat,4.9,11.53,17765,74.48,82.11,5.88,63.6,92.35,98.13
DKI JAKARTA,Kota Jakarta Selatan,3.52,11.66,24221,74.49,85.21,5.63,63.07,95.45,98.01
DKI JAKARTA,Kota Jakarta Timur,4.3,11.73,18199,74.83,83.45,8.39,61.26,94.32,98.11
DKI JAKARTA,Kota Jakarta Utara,7.24,10.82,19201,73.47,80.81,8.04,64.34,88.92,96.09
GORONTALO,Boalemo,18.74,7.03,9543,69.61,67.27,2.07,72.46,74.62,95.14
GORONTALO,Bone Bolango,16.05,8.33,10676,68.88,70.9,3.29,65.28,76.75,94.87
GORONTALO,Gorontalo,17.71,7.61,9850,67.89,68.28,1.83,70.47,75.14,96.8
GORONTALO,Gorontalo Utara,17.24,7.16,9636,66.3,66.01,2.02,69.95,81.8,89.47
GORONTALO,Kota Gorontalo,5.73,10.39,13077,72.88,78.22,3.5,64.64,92.09,100
GORONTALO,Pohuwato,17.87,7.35,10913,64.62,66.53,3.41,70.53,78.32,95.93
JAMBI,Batang Hari,9.63,8.21,10173,70.93,70.51,3.53,63.42,80.26,83.35
JAMBI,Bungo,5.38,8.29,11956,68.13,70.55,5.5,67.83,79.59,77.26
JAMBI,Kerinci,7.57,8.57,10570,70.28,71.99,2.63,73.53,68.1,81.16
JAMBI,Kota Jambi,8.33,11.21,12597,72.99,79.58,8.95,64.52,92.82,95.3
JAMBI,Kota Sungai Penuh,2.97,10.34,10745,72.53,76.17,2.49,63.02,77.72,93.67
JAMBI,Merangin,8.7,7.91,10714,71.53,69.98,4.69,69.5,75.7,51.26
JAMBI,Muaro Jambi,4.47,8.59,9118,71.58,70.18,5.35,67.21,83.36,74.15
JAMBI,Sarolangun,8.48,8.12,12069,69.46,70.89,5.22,66.74,79.14,72.01
JAMBI,Tanjung Jabung Barat,10,8.18,9968,68.43,68.79,2.88,70,73.53,92.85
JAMBI,Tanjung Jabung Timur,10.91,7.19,9503,66.66,65.77,1.32,72.85,69.75,83.71
JAMBI,Tebo,6.34,7.7,10725,70.26,69.78,1.38,69.02,78.29,74.24
JAWA BARAT,Bandung,6.8,9.08,10588,74.01,73.16,6.98,63.64,70.85,93.79
JAWA BARAT,Bandung Barat,10.82,8.22,9044,72.79,69.04,9.63,64.37,50.96,86.6
JAWA BARAT,Bekasi,5.01,9.53,11757,74.04,75.22,10.31,65.41,89.99,94.86
JAWA BARAT,Bogor,7.73,8.34,10860,71.65,71.2,10.64,63.75,73.47,92.28
JAWA BARAT,Ciamis,7.72,8,9428,72.3,71.45,3.75,68.47,75.5,93.8
JAWA BARAT,Cianjur,10.55,7.2,8244,70.58,65.94,8.41,69.98,61.76,80.79
JAWA BARAT,Cirebon,12.01,7.4,10791,72.47,70.06,8.11,65.53,86.76,94.99
JAWA BARAT,Garut,10.42,7.83,8227,71.85,67.41,7.6,68.84,51.9,78.15
JAWA BARAT,Indramayu,12.77,6.83,10166,72.15,68.55,6.49,69.08,86.64,95.25
JAWA BARAT,Karawang,8.44,7.96,11927,72.62,71.74,9.87,65.51,85.1,98.19
JAWA BARAT,Kota Bandung,4.25,11,17639,74.75,82.5,9.55,69.42,49.85,99.03
JAWA BARAT,Kota Banjar,6.73,8.78,10967,71.49,72.55,5.53,63.76,88.26,97.67
JAWA BARAT,Kota Bekasi,4.43,11.44,16239,75.48,82.46,8.81,65.33,90.8,98.28
JAWA BARAT,Kota Bogor,7.1,10.63,12058,74.13,77.17,10.78,64.21,67.93,98.73
JAWA BARAT,Kota Cimahi,5.11,11.21,12500,74.5,78.77,10.77,67.22,77.18,97.81
